name,url,content
Advanced Wireless Networks for the Soldier,None,No project description available
iFAB,http://www.darpa.mil/our_work/tto/programs/adaptive_vehicle_make__(avm).aspx,"[<p>Adaptive Vehicle Make (AVM) is a portfolio of programs that address revolutionary approaches to the design, verification and manufacturing of complex defense systems and vehicles. The portfolio consists of three primary programs: META, Instant Foundry Adaptive through Bits (iFAB) and Fast Adaptable Next-Generation Ground Vehicle (FANG). </p>, <p><p>Adaptive Vehicle Make (AVM) is a portfolio of programs that address revolutionary approaches to the design, verification and manufacturing of complex defense systems and vehicles. The portfolio consists of three primary programs: META, Instant Foundry Adaptive through Bits (iFAB) and Fast Adaptable Next-Generation Ground Vehicle (FANG). </p>
<p>Following the announcement of a winner of the first FANG Challenge in April 2013, the winning design was built and tested. The test data has verified the new design paradigm, and as a result, DARPA is pursuing an opportunity for an early transition of the program to industry in 2014.</p>
</p>, <p>Adaptive Vehicle Make (AVM) is a portfolio of programs that address revolutionary approaches to the design, verification and manufacturing of complex defense systems and vehicles. The portfolio consists of three primary programs: META, Instant Foundry Adaptive through Bits (iFAB) and Fast Adaptable Next-Generation Ground Vehicle (FANG). </p>, <p>Following the announcement of a winner of the first FANG Challenge in April 2013, the winning design was built and tested. The test data has verified the new design paradigm, and as a result, DARPA is pursuing an opportunity for an early transition of the program to industry in 2014.</p>]"
LRASM,http://www.darpa.mil/Our_Work/TTO/Programs/Long_Range_Anti-Ship_Missile_(LRASM).aspx,"[<p>Current surface-launched, anti-ship missiles face a challenge penetrating sophisticated enemy air defense systems from long range. As a result, warfighters may require multiple missile launches and overhead targeting assets to engage specific enemy warships from beyond the reach of counter-fire systems.</p>, <p><p>Current surface-launched, anti-ship missiles face a challenge penetrating sophisticated enemy air defense systems from long range. As a result, warfighters may require multiple missile launches and overhead targeting assets to engage specific enemy warships from beyond the reach of counter-fire systems.</p>
<p>To overcome these challenges, the joint DARPA - Navy Long Range Anti-Ship Missile (LRASM) program is investing in advanced technologies to provide a leap ahead in U.S. surface warfare capability. The LRASM program aims to reduce dependence on intelligence, surveillance and reconnaissance (ISR) platforms, network links, and GPS navigation in electronic warfare environments.  Autonomous guidance algorithms should allow the LRASM to use less-precise target cueing data to pinpoint specific targets in the contested domain. The program also focuses on innovative terminal survivability approaches and precision lethality in the face of advanced counter measures. </p>
<p>The LRASM program began in 2009 to ensure that the United States leads technology advancement for best-in-world operational Anti-Surface Warfare capability into the future. The program, currently in the second of two phases, initially focused on technology for two variants, the LRASM-A and LRASM-B. LRASM-A leverages the state-of-the-art Joint Air to Surface Standoff Missile Extended Range (JASSM-ER) airframe and incorporates additional sensors and systems to achieve a stealthy and survivable subsonic cruise missile. Designs for LRASM-B focused on operating at the other end of the spectrum for precision strike weapons—high-altitude and supersonic speed over stealthy penetration.</p>
<p>Working in close collaboration with the Navy to provide warfighters a capability that can make a difference at sea in the near term, DARPA decided in January 2012 to focus solely on technology development for LRASM-A, ceasing development of LRASM-B. By consolidating investments to focus solely on advancing LRASM-A technologies, DARPA aims to reduce risk and expedite delivery of cutting-edge capability to the fleet. </p>
<p>DARPA began captive carry flight tests of LRASM sensors aboard a research aircraft in May 2012. The first captive carry test aboard a modified Sabreliner business jet successfully demonstrated all elements of the integrated sensor suite, including sensing and fuzing targets and validation of the geolocation algorithm. The sensor suite performed as planned, paving the way for additional captive carry tests in increasingly complex simulated scenarios through the remainder of 2012 and beginning of 2013.</p>
<p>DARPA originally scheduled two air-launched flight demonstrations for early 2013. In March 2013, DARPA increased the scope of the program to include a third flight to further mature key technologies in preparation for transition opportunities. Captive carry events will continue over the next several months, with the first live-fire exercise slated for Summer 2013. </p>
<p>Additionally, DARPA has begun an effort to integrate the LRASM for launch from a surface vessel. In support of the Office of the Secretary of Defense, DARPA is addressing the long-lead developmental tasks including modifications to the missile airframe, design of the booster separation system and development of a new hybrid canister to accommodate the LRASM. DARPA also plans to address surface-launched risk reduction (SLRR) issues. Two ballistic test surface launches are planned for the end of 2014.</p>
<p>The LRASM program is on track to deliver an advanced prototype weapon to the Navy and Air Force with capability for challenging future operational environments, while being sufficiently mature to transition rapidly to an acquisition program to address near-term operational challenges. </p>
<p>Lockheed Martin Missiles and Fire Control (LMMFC) Strike Weapons, Orlando, Fla., is the performer for the demonstration of the LRASM weapon, and BAE Systems, Information and Electronic Systems Integration, Nashua, NH, is the performer for the design and delivery of onboard sensor systems.</p>
</p>, <p>Current surface-launched, anti-ship missiles face a challenge penetrating sophisticated enemy air defense systems from long range. As a result, warfighters may require multiple missile launches and overhead targeting assets to engage specific enemy warships from beyond the reach of counter-fire systems.</p>, <p>To overcome these challenges, the joint DARPA - Navy Long Range Anti-Ship Missile (LRASM) program is investing in advanced technologies to provide a leap ahead in U.S. surface warfare capability. The LRASM program aims to reduce dependence on intelligence, surveillance and reconnaissance (ISR) platforms, network links, and GPS navigation in electronic warfare environments.  Autonomous guidance algorithms should allow the LRASM to use less-precise target cueing data to pinpoint specific targets in the contested domain. The program also focuses on innovative terminal survivability approaches and precision lethality in the face of advanced counter measures. </p>, <p>The LRASM program began in 2009 to ensure that the United States leads technology advancement for best-in-world operational Anti-Surface Warfare capability into the future. The program, currently in the second of two phases, initially focused on technology for two variants, the LRASM-A and LRASM-B. LRASM-A leverages the state-of-the-art Joint Air to Surface Standoff Missile Extended Range (JASSM-ER) airframe and incorporates additional sensors and systems to achieve a stealthy and survivable subsonic cruise missile. Designs for LRASM-B focused on operating at the other end of the spectrum for precision strike weapons—high-altitude and supersonic speed over stealthy penetration.</p>]"
Zeno-Based Opto-Electronics (ZOE),None,No project description available
Lightweight Ceramic Armor,None,No project description available
Optical Lattice Emulator,None,No project description available
Distributed Agile Submarine Hunting (DASH),http://www.darpa.mil/Our_Work/STO/Programs/Distributed_Agile_Submarine_Hunting_(DASH).aspx,"[<p>The diesel-electric submarine is an asymmetric threat in terms of its cost and consequential growth in numbers relative to our legacy maritime platforms. In addition, these submarines have trended toward lower acoustic signature levels, and have grown in lethality. The Distributed Agile Submarine Hunting (DASH) program intends to reverse the asymmetric advantage of this threat through the development of advanced standoff sensing from unmanned systems.</p>, <p><p>The quiet submarine is an asymmetric threat in terms of its cost and consequential growth in numbers relative to our legacy maritime platforms. In addition, these submarines have trended toward lower acoustic signature levels and have grown in lethality. The Distributed Agile Submarine Hunting (DASH) program intends to reverse the asymmetric advantage of this threat through the development of advanced standoff sensing from unmanned systems. </p>
<p>Deep ocean sonar nodes will operate at significant depths in open ocean areas to achieve large fields of view to detect submarines overhead. Each deep node is the maritime equivalent of a satellite, and is referred to as a subullite. The significant field of view, along with the advantage of low-noise phenomena at extreme depths will permit a scalable number of collaborative sensor platforms to detect and track submarines over large areas. For the vast shallow continental shelf areas, the program similarly adopts distributed mobile sensors, but instead leverages insights in non-acoustic sensing from above. </p>
<p>The program developed two prototype systems. The first prototype is the Transformational Reliable Acoustic Path System (TRAPS). TRAPS is a fixed passive sonar node designed to achieve large-area coverage by exploiting advantages of operating from the deep seafloor. The second prototype is the Submarine Hold at RisK (SHARK), an unmanned underwater vehicle (UUV) designed to provide a mobile active sonar platform to track submarines after initial detections are made. The SHARK UUV conducted successful deep dive testing in February 2013. Subsequent efforts may follow to realize multiple sonar nodes as well as the integration of the SHARK UUV with its sonar.  </p>
</p>, <p>The quiet submarine is an asymmetric threat in terms of its cost and consequential growth in numbers relative to our legacy maritime platforms. In addition, these submarines have trended toward lower acoustic signature levels and have grown in lethality. The Distributed Agile Submarine Hunting (DASH) program intends to reverse the asymmetric advantage of this threat through the development of advanced standoff sensing from unmanned systems. </p>, <p>Deep ocean sonar nodes will operate at significant depths in open ocean areas to achieve large fields of view to detect submarines overhead. Each deep node is the maritime equivalent of a satellite, and is referred to as a subullite. The significant field of view, along with the advantage of low-noise phenomena at extreme depths will permit a scalable number of collaborative sensor platforms to detect and track submarines over large areas. For the vast shallow continental shelf areas, the program similarly adopts distributed mobile sensors, but instead leverages insights in non-acoustic sensing from above. </p>, <p>The program developed two prototype systems. The first prototype is the Transformational Reliable Acoustic Path System (TRAPS). TRAPS is a fixed passive sonar node designed to achieve large-area coverage by exploiting advantages of operating from the deep seafloor. The second prototype is the Submarine Hold at RisK (SHARK), an unmanned underwater vehicle (UUV) designed to provide a mobile active sonar platform to track submarines after initial detections are made. The SHARK UUV conducted successful deep dive testing in February 2013. Subsequent efforts may follow to realize multiple sonar nodes as well as the integration of the SHARK UUV with its sonar.  </p>]"
AWARE,http://www.darpa.mil/Our_Work/MTO/Programs/Advanced_Wide_FOV_Architectures_for_Image_Reconstruction_and_Exploitation_(AWARE).aspx,"[<p>Addressing the passive imaging needs for multi-band, wide field-of-view and high-resolution imaging for ground and near ground platforms.</p>, <p><p>The ability to see farther, with higher clarity, and through darkness and/or obscurants is vital to nearly all military operations.  At the same time, there is an immense need to increase field of view (FOV), resolution and day/night capability at reduced size, weight and power (SWaP) and cost for advanced imaging systems.  The main driver for these requirements is to provide dismounted soldiers, ground troops and near-ground support platforms with the best available imaging tools for their combat effectiveness.  With the advent of smaller UAVs, which can provide a huge advantage to our troops, the pressure to increase performance and reduce SWaP is even more intense.  Advanced Wide FOV Architectures for Image Reconstruction and Exploitation (AWARE) program responds to these needs by simultaneously pushing the envelope of imager performance through new FPA and camera designs and advanced distributed aperture sensors (ADAS) ground support systems.  </p>
<p>The AWARE program will enable wide FOV, higher resolution and multi-band imaging capability for increased target discrimination and search in all weather day/night conditions.  The imaging systems will be sufficiently lightweight and compact to be fielded on a variety of ground and air borne platforms.  It is envisioned that the first AWARE systems will be deployed on ground and near ground assets and will improve resolution (increase distance for target ID), increase operational capability (ability to see panoramic visible scene with multiple target tracking), increase day/night visibility (mitigate brownout for helicopter landing) and search capability with LWIR, increase range and resolution with SWIR foveation, replace multiple sights now used by rifle scopes with single day/night sensor, and  provide spectrometry capability using broad band sensors.  In addition, the modular component technologies will have a broad impact on DoD imaging applications including targeting, persistent surveillance, sensing, and imaging with color fusion.  The AWARE program will solve the current fundamental scaling limitations in imaging systems and demonstrate a design methodology for building compact systems, capable of forming images at or near the full diffraction-limited instantaneous field of view (iFOV) achieved over a wide FOV.  This approach represents a dramatic advance over the current state of the art.  </p>
</p>, <p>The ability to see farther, with higher clarity, and through darkness and/or obscurants is vital to nearly all military operations.  At the same time, there is an immense need to increase field of view (FOV), resolution and day/night capability at reduced size, weight and power (SWaP) and cost for advanced imaging systems.  The main driver for these requirements is to provide dismounted soldiers, ground troops and near-ground support platforms with the best available imaging tools for their combat effectiveness.  With the advent of smaller UAVs, which can provide a huge advantage to our troops, the pressure to increase performance and reduce SWaP is even more intense.  Advanced Wide FOV Architectures for Image Reconstruction and Exploitation (AWARE) program responds to these needs by simultaneously pushing the envelope of imager performance through new FPA and camera designs and advanced distributed aperture sensors (ADAS) ground support systems.  </p>, <p>The AWARE program will enable wide FOV, higher resolution and multi-band imaging capability for increased target discrimination and search in all weather day/night conditions.  The imaging systems will be sufficiently lightweight and compact to be fielded on a variety of ground and air borne platforms.  It is envisioned that the first AWARE systems will be deployed on ground and near ground assets and will improve resolution (increase distance for target ID), increase operational capability (ability to see panoramic visible scene with multiple target tracking), increase day/night visibility (mitigate brownout for helicopter landing) and search capability with LWIR, increase range and resolution with SWIR foveation, replace multiple sights now used by rifle scopes with single day/night sensor, and  provide spectrometry capability using broad band sensors.  In addition, the modular component technologies will have a broad impact on DoD imaging applications including targeting, persistent surveillance, sensing, and imaging with color fusion.  The AWARE program will solve the current fundamental scaling limitations in imaging systems and demonstrate a design methodology for building compact systems, capable of forming images at or near the full diffraction-limited instantaneous field of view (iFOV) achieved over a wide FOV.  This approach represents a dramatic advance over the current state of the art.  </p>]"
SBIR Mission Funds,None,No project description available
QUANTUM INFORMATION SCIENCE(QIS),None,No project description available
ENABLING STRESS RESISTANCE (ESR),http://www.darpa.mil/Our_Work/BTO/Programs/Enabling_Stress_Resistance.aspx,"[<p>The 
 Enabling Stress Resistance program will create a comprehensive, quantitative 
 description of the impact of stress on the brain by leveraging revolutionary 
 technologies and recent advances in molecular neurobiology, neuroimaging, and 
 molecular pathway modeling.</p>, <p><p>Negative impacts of stress 
 on the cognitive, emotional, and physical well-being of warfighters is 
 irrefutable.  Recent technological developments in neuroscience present the 
 opportunity to address these challenges as never before.  Novel molecular 
 biological techniques, coupled with in vivo measurement technologies, can allow 
 assessment of the effects of stress with extreme temporal and anatomical 
 precision, leading to a better understanding of stress and opportunities for 
 intervention.</p>
<p>The Enabling Stress Resistance program will create a 
 comprehensive, quantitative description of the impact of stress on the brain by 
 leveraging revolutionary technologies and recent advances in molecular 
 neurobiology, neuroimaging, and molecular pathway modeling.  This program's 
 objective is a proactive approach to stress mitigation starting with the 
 development of a comprehensive animal model of the complex effects of multiple 
 stressors on the brain.  The program strives to develop and implement 
cognitive,  behavioral, and pharmacological interventions that will prevent the 
deleterious  effects of stress on warfighters.</p>
</p>, <p>Negative impacts of stress 
 on the cognitive, emotional, and physical well-being of warfighters is 
 irrefutable.  Recent technological developments in neuroscience present the 
 opportunity to address these challenges as never before.  Novel molecular 
 biological techniques, coupled with in vivo measurement technologies, can allow 
 assessment of the effects of stress with extreme temporal and anatomical 
 precision, leading to a better understanding of stress and opportunities for 
 intervention.</p>, <p>The Enabling Stress Resistance program will create a 
 comprehensive, quantitative description of the impact of stress on the brain by 
 leveraging revolutionary technologies and recent advances in molecular 
 neurobiology, neuroimaging, and molecular pathway modeling.  This program's 
 objective is a proactive approach to stress mitigation starting with the 
 development of a comprehensive animal model of the complex effects of multiple 
 stressors on the brain.  The program strives to develop and implement 
cognitive,  behavioral, and pharmacological interventions that will prevent the 
deleterious  effects of stress on warfighters.</p>]"
Transformer (TX),http://www.darpa.mil/Our_Work/TTO/Programs/Aerial_Reconfigurable_Embedded_System_(ARES).aspx,"[<p>Difficult terrain and threats such as ambushes and Improvised  
Explosive Devices (IEDs) can make ground-based transportation to and from the  
front line a dangerous challenge. Helicopters can easily bypass those problems  
but present logistical challenges of their own, and can subject flight crew to  
different types of threats. They are also expensive to operate, and the supply  
of available helicopters cannot always meet the demand for their services, 
 which  cover diverse operational needs including resupply, fire-team insertion 
 and  extraction, and casualty evacuation. </p>, <p><p>Difficult 
 terrain  and threats such as ambushes and Improvised Explosive Devices (IEDs) 
 can make  ground-based transportation to and from the front line a dangerous 
 challenge.  Helicopters can easily bypass those problems but present logistical 
 challenges  of their own, and can subject flight crew to different types of 
 threats. They  are also expensive to operate, and the supply of available 
 helicopters cannot  always meet the demand for their services, which cover 
 diverse operational needs  including resupply, fire-team insertion and 
 extraction, and casualty evacuation.  </p>
<p>To help overcome these 
challenges,  DARPA unveiled the Transformer (TX) program in 2009. 
Transformer  aimed to develop and demonstrate a prototype system  that would 
provide  flexible, terrain-independent transportation for logistics,  personnel 
transport  and tactical support missions for small ground units. In  2013, DARPA 
selected  the Aerial Reconfigurable Embedded System (ARES) design  concept to 
move  forward. </p>
<p>ARES is a vertical takeoff and landing (VTOL)  flight 
module  designed to operate as an unmanned platform capable of  transporting a 
variety  of payloads. The ARES VTOL flight module is designed to  have its own 
power  system, fuel, digital flight controls and remote  command-and-control 
 interfaces. Twin tilting ducted fans would provide efficient  hovering and 
 landing capabilities in a compact configuration, with rapid  conversion to 
 high-speed cruise flight.  </p>
<p>It is envisioned that the  flight module 
 would travel between its home base and field operations to deliver  and 
retrieve  several different types of detachable mission modules, each  designed 
for a  specific purpose. Example modules could include: </p>
<ul>
<li>Cargo 
 resupply</li>
<li>Casualty evacuation (CASEVAC)</li>
<li>Intelligence, 
 surveillance and reconnaissance (ISR)</li>
</ul>
<p>The ARES  program would 
 enable numerous benefits, including: </p>
<ul>
<li>Useful load  capability as 
 high as 3,000 pounds, more than 40 percent of the takeoff gross  weight of the 
 aircraft</li>
<li>Flight performance similar to light  aircraft</li>
<li>Compact  configuration and the ability to use landing zones  half the size 
typically  needed by helicopters of similar size</li>
<li>VTOL  operations from 
prepared,  unprepared and ship-based landing sites</li>
<li>Unmanned operation, 
with a  future path towards semi-autonomous flight  systems and user interfaces 
for  optionally manned/controlled flight</li>
</ul>
</p>, <p>Difficult 
 terrain  and threats such as ambushes and Improvised Explosive Devices (IEDs) 
 can make  ground-based transportation to and from the front line a dangerous 
 challenge.  Helicopters can easily bypass those problems but present logistical 
 challenges  of their own, and can subject flight crew to different types of 
 threats. They  are also expensive to operate, and the supply of available 
 helicopters cannot  always meet the demand for their services, which cover 
 diverse operational needs  including resupply, fire-team insertion and 
 extraction, and casualty evacuation.  </p>, <p>To help overcome these 
challenges,  DARPA unveiled the Transformer (TX) program in 2009. 
Transformer  aimed to develop and demonstrate a prototype system  that would 
provide  flexible, terrain-independent transportation for logistics,  personnel 
transport  and tactical support missions for small ground units. In  2013, DARPA 
selected  the Aerial Reconfigurable Embedded System (ARES) design  concept to 
move  forward. </p>, <p>ARES is a vertical takeoff and landing (VTOL)  flight 
module  designed to operate as an unmanned platform capable of  transporting a 
variety  of payloads. The ARES VTOL flight module is designed to  have its own 
power  system, fuel, digital flight controls and remote  command-and-control 
 interfaces. Twin tilting ducted fans would provide efficient  hovering and 
 landing capabilities in a compact configuration, with rapid  conversion to 
 high-speed cruise flight.  </p>]"
DEEP LEARNING,http://www.darpa.mil/our_work/i2o/programs/deep_exploration_and_filtering_of_text_(deft).aspx,"[<p>Department of Defense (DoD) operators and analysts collect and process 
copious amounts of data from a wide range of sources to create and assess plans 
and execute missions. However, depending on context, much of the information 
that could support DoD missions may be implicit rather than explicitly 
expressed. Having the capability to automatically extract operationally relevant 
information that is only referenced indirectly would greatly assist analysts in 
efficiently processing data.</p>, <p><p>Department of Defense 
(DoD) operators and analysts collect and process copious amounts of data from a 
wide range of sources to create and assess plans and execute missions. However, 
depending on context, much of the information that could support DoD missions 
may be implicit rather than explicitly expressed. Having the capability to 
automatically extract operationally relevant information that is only referenced 
indirectly would greatly assist analysts in efficiently processing data.</p>
<p>Automated, deep natural-language processing (NLP) technology may hold a 
solution for more efficiently processing text information and enabling 
understanding connections in text that might not be readily apparent to humans. 
DARPA created the Deep Exploration and Filtering of Text (DEFT) program to 
harness the power of NLP. Sophisticated artificial intelligence of this nature 
has the potential to enable defense analysts to efficiently investigate orders 
of magnitude more documents so they can discover implicitly expressed, 
actionable information contained within them. </p>
<p>By building on the NLP 
technologies developed in other DARPA programs and ongoing academic research 
into deep language understanding and artificial intelligence, DEFT aims to 
address remaining capability gaps related to inference, causal relationships and 
anomaly detection. Improving human language technology to incorporate these 
capabilities is essential for enabling automated exposure of important content 
to facilitate analysis.</p>
<p>As a further aid to analysis, DEFT also aims to 
enable the capability to integrate individual facts into large domain models as 
information is processed to support assessment, planning, prediction and the 
initial stages of report writing. If successful, DEFT will allow analysts to 
move from limited, linear processing of huge sets of data to a nuanced, 
strategic exploration of available information.</p>
<p>The development of an 
automated solution may involve contributions from the linguistics and computer 
science fields in the areas of artificial intelligence, computational 
linguistics, machine learning, natural-language understanding, discourse and 
dialogue analysis, and others. </p>
</p>, <p>Department of Defense 
(DoD) operators and analysts collect and process copious amounts of data from a 
wide range of sources to create and assess plans and execute missions. However, 
depending on context, much of the information that could support DoD missions 
may be implicit rather than explicitly expressed. Having the capability to 
automatically extract operationally relevant information that is only referenced 
indirectly would greatly assist analysts in efficiently processing data.</p>, <p>Automated, deep natural-language processing (NLP) technology may hold a 
solution for more efficiently processing text information and enabling 
understanding connections in text that might not be readily apparent to humans. 
DARPA created the Deep Exploration and Filtering of Text (DEFT) program to 
harness the power of NLP. Sophisticated artificial intelligence of this nature 
has the potential to enable defense analysts to efficiently investigate orders 
of magnitude more documents so they can discover implicitly expressed, 
actionable information contained within them. </p>, <p>By building on the NLP 
technologies developed in other DARPA programs and ongoing academic research 
into deep language understanding and artificial intelligence, DEFT aims to 
address remaining capability gaps related to inference, causal relationships and 
anomaly detection. Improving human language technology to incorporate these 
capabilities is essential for enabling automated exposure of important content 
to facilitate analysis.</p>]"
Maximum Mobility and Manipulation (M3),http://www.darpa.mil/our_work/dso/programs/maximum_mobility_and_manipulation_(m3).aspx,"[<p>Robots hold great promise for amplifying human effectiveness in Defense operations.  Compared to human beings and animals, however, the mobility and manipulation capability of present day robots is poor.  In addition, design and manufacturing of current robotic systems are time consuming, and fabrication costs remain high.</p>, <p><p>Robots hold great promise for amplifying human effectiveness in Defense operations.  Compared to human beings and animals, however, the mobility and manipulation capability of present day robots is poor.  In addition, design and manufacturing of current robotic systems are time consuming, and fabrication costs remain high.  If these limitations were overcome, robots could assist in the execution of military operations far more effectively across a far greater range of missions.</p>
<p>The Maximum Mobility and Manipulation (M3) program is striving to create and demonstrate significant scientific and engineering advances in robotics that will:</p>
<ul>
<li>Create a significantly improved scientific framework for the rapid design and fabrication of robot systems and greatly enhance robot mobility and manipulation in natural environments. </li>
<li>Significantly improve robot capabilities through fundamentally new approaches to the engineering of better design tools, fabrication methods, and control algorithms. The M3 program covers scientific advancement across four tracks: design tools, fabrication methodologies, control methods, and technology demonstration prototypes. </li>
</ul>
</p>, <p>Robots hold great promise for amplifying human effectiveness in Defense operations.  Compared to human beings and animals, however, the mobility and manipulation capability of present day robots is poor.  In addition, design and manufacturing of current robotic systems are time consuming, and fabrication costs remain high.  If these limitations were overcome, robots could assist in the execution of military operations far more effectively across a far greater range of missions.</p>, <p>The Maximum Mobility and Manipulation (M3) program is striving to create and demonstrate significant scientific and engineering advances in robotics that will:</p>]"
I2O Mgmt Initiatives IT-03,http://www.darpa.mil/Our_Work/I2O/I2O_NewsEvents.aspx,[]
Quantum Orbital Resonance Spectroscopy (QORS),http://www.darpa.mil/Our_Work/DSO/Programs/Quantum_Orbital_Resonance_Spectroscopy_(QORS).aspx,"[<p>The Quantum Orbital Resonance Spectroscopy (QORS) program will lay the 
scientific foundation for novel neurodiagnostic capabilities by combining recent 
advances in quantum photonics with Magnetic Resonance Imaging and Spectroscopy 
(MRI/MRS).</p>, <p>The Quantum Orbital Resonance Spectroscopy 
(QORS) program will lay the scientific foundation for novel neurodiagnostic 
capabilities by combining recent advances in quantum photonics with Magnetic 
Resonance Imaging and Spectroscopy (MRI/MRS).  QORS seeks to measure changes in 
neurochemical concentrations—seen in a range of neurological conditions 
injuries—without the large, super-conducting magnet used in traditional MRI and 
MRS, thus leading to the development of a noninvasive, compact neurodiagnostic 
for assessing traumatic brain injury (TBI) and post-traumatic stress disorder 
(PTSD).</p>]"
HIgh Frequency Integrated Vacuum Electronics (HIFIVE),http://www.darpa.mil/Our_Work/MTO/Programs/High_Frequency_Integrated_Vacuum_Electronics_(HIFIVE).aspx,"[<p>The objective of the HiFIVE program is to develop an integrated, microfabricated, vacuum electronic high-power amplifier circuit for use in high-bandwidth, high-power transmitters.</p>, <p><p>The millimeter wave (MMW) and sub-MMW part of the spectrum is of interest to DoD. Several relevant DoD and commercial applications including high-bandwidth communications, collision-avoidance radar, security screening, and high resolution imaging; and this region of the spectrum remains largely unexploited due to the challenges in accessing upper MMW and sub-MMW frequencies.</p>
<p>Vacuum electronic devices are frequently used as high power amplifiers at frequencies approaching the MMW and sub-MMW part of the spectrum. Traditional vacuum electronic devices are custom-built using numerous discrete components. For a vacuum electronics device to operate at MMW and sub-MMW frequencies and remain compact they must be highly integrated and fabricated by utilizing state-of-the-art micromachining techniques.</p>
<p>The objective of the High Frequency Integrated Vacuum Electronics (HiFIVE) program is to develop an integrated, microfabricated vacuum electronic (VE) high-power amplifier (HPA) circuit for use in high-bandwidth, high-power transmitters. The program will demonstrate operation of such a circuit over a 5 GHz frequency band centered at 220 GHz. The HiFIVE program is pursuing innovative technologies and approaches in several areas including high current density cathodes, high-power electron beam transport, and microfabrication of an interaction structure to enable an integrated, microfabricated vacuum electronic (VE) high power amplifier (HPA) circuit. There are two main areas of development: the necessary circuit elements to achieve a compact high-performance 220 GHz VE HPA, and the design, construction and demonstration of the high power amplifier and its demonstration. <br/> </p>
</p>, <p>The millimeter wave (MMW) and sub-MMW part of the spectrum is of interest to DoD. Several relevant DoD and commercial applications including high-bandwidth communications, collision-avoidance radar, security screening, and high resolution imaging; and this region of the spectrum remains largely unexploited due to the challenges in accessing upper MMW and sub-MMW frequencies.</p>, <p>Vacuum electronic devices are frequently used as high power amplifiers at frequencies approaching the MMW and sub-MMW part of the spectrum. Traditional vacuum electronic devices are custom-built using numerous discrete components. For a vacuum electronics device to operate at MMW and sub-MMW frequencies and remain compact they must be highly integrated and fabricated by utilizing state-of-the-art micromachining techniques.</p>, <p>The objective of the High Frequency Integrated Vacuum Electronics (HiFIVE) program is to develop an integrated, microfabricated vacuum electronic (VE) high-power amplifier (HPA) circuit for use in high-bandwidth, high-power transmitters. The program will demonstrate operation of such a circuit over a 5 GHz frequency band centered at 220 GHz. The HiFIVE program is pursuing innovative technologies and approaches in several areas including high current density cathodes, high-power electron beam transport, and microfabrication of an interaction structure to enable an integrated, microfabricated vacuum electronic (VE) high power amplifier (HPA) circuit. There are two main areas of development: the necessary circuit elements to achieve a compact high-performance 220 GHz VE HPA, and the design, construction and demonstration of the high power amplifier and its demonstration. <br/> </p>]"
DIRO DSRC,None,No project description available
